Company,URL,Company Description,All Investors,Total Funding,Sector,Industry,Sub-Industry,Country,State,City,Phone,Email,VC Backed,Exit Round,Exit Date,Last Funding Round,Last Funding Date,Last Funding Amount,Last Funding Simplified Round,Last Funding Investors,Min Valuation,Max Valuation,Min Price/Sales Ratio,Max Price/Sales Ratio,Continent,Private Collections,Expert Collections,Twitter Score,# Twitter Followers,Twitter Engagement,Followers to Following,Twitter Followers Growth,Twitter Mentions Growth,Twitter Handle
AcelRx Pharmaceuticals,http://www.acelrx.com,"AcelRx Pharmaceuticals is a specialty pharmaceutical company focused on the development and commercialization of therapies for the treatment of acute and breakthrough pain. AcelRx's lead product candidate, Zalviso, is designed to solve the problems associated with post-operative intravenous patient-controlled analgesia which has been shown to cause harm to patients following surgery because of the side effects of morphine, the invasive IV route of delivery and the complexity of infusion pumps. AcelRx has announced positive results from each of the three completed Phase 3 clinical trials for Zalviso, and has submitted an NDA to the FDA seeking approval for Zalviso in the treatment of moderate-to-severe acute pain in adult patients in the hospital setting. AcelRx has also announced positive top-line results for a Phase 2 trial for ARX-04, a product candidate for the treatment of moderate-to-severe acute pain in a medically supervised setting, funded through a grant from the U.S. Army Medical Research and Materiel Command. The company has two additional pain treatment product candidates, ARX-02 and ARX-03, which have completed Phase 2 clinical development.",Alta Partners;Kaiser Permanente Ventures;Public;Three Arch Partners,54.8,Healthcare,Drug Delivery,,United States,California,Redwood City,650-216-3500,info@acelrx.com,Yes,IPO,2011/02/11,Series C,2009/11/20,14.8,Series C,Alta Partners;Three Arch Partners;Kaiser Permanente Ventures,96.86,96.86,,,North America,,BIO 2016,,,,,,,
Acer Therapeutics,http://www.acertx.com,"Acer Therapeutics is developing the first pharmaceutical therapy for patients with Maple Syrup Urine Disease (MSUD). MSUD is a devastating genetic disease – an inborn error of amino acid metabolism. Approximately 800 patients suffer from MSUD in the U.S. and 3,000 worldwide. There are no therapeutic options for MSUD and diet is not enough. Despite careful dietary management, the majority of MSUD patients have chronic neurological and social impairment, as well as life-threatening episodes of intoxication. A randomized, controlled, double-blind Phase 3 clinical study of sodium phenylbutyrate (NaPBA) in MSUD is expected to begin enrolling 1H 2015. Acer's business model is to repurpose and reformulate existing therapeutics for orphan indications with unmet medical needs.",Bukwang Pharmaceutical;Opexa Therapeutics;TVM Capital Life Science;Undisclosed Investors,17.48,Healthcare,Biotechnology,,United States,Massachusetts,Cambridge,617-225-7700,,Yes,Reverse Merger,2017/09/20,Debt - II,2017/04/05,3.13,Debt,Undisclosed Investors,22.19356,22.19356,,,North America,,Pharma Startups,,,,,,,
Achaogen,http://www.achaogen.com,"Achaogen specializes in the discovery and development of small molecules to treat infections caused by bacterial infection, and by antibiotic-resistant strains in particular. Achaogen focuses on high value bacterial targets that are validated, but not yet addressed by safe and effective drugs. Achaogen's programs include its SOS-pathway program, focused on the inhibition of bacterial resistance in combination with fluoroquinolones and other drug classes; its aminoglycoside program, focused on the development of compounds that address aminoglycoside-resistant Gram-negative pathogens; and an internal program focused on hospital-acquired Gram-positive and Gram-negative pathogens.",5AM Ventures;Alta Partners;ARCH Venture Partners;Domain Associates;Frazier Healthcare Partners;Gold Hill Capital;Public;Venrock;Versant Ventures;Wellcome Trust,115.9,Healthcare,Biotechnology,,United States,California,South San Francisco,650-800-3636,,Yes,IPO,2014/03/12,Series D,2013/03/22,18.9,Series D,Frazier Healthcare Partners;Versant Ventures;Venrock;5AM Ventures,201.36,201.36,10.87844408,10.87844408,North America,,BIO 2016;Pharma Startups,,178,3,35.6,20.00%,,@achaogen
Achillion Pharmaceuticals,http://www.achillion.com,"Achillion is a product-focused pharmaceutical company committed to the discovery, development and commercialization of anti-infective agents. Its emphasis is on antiviral drugs to treat infections caused by hepatitis B and C viruses, herpes viruses and the human immunodeficiency virus (HIV).",Advent International;Atlas Venture;Bear Stearns;Clarus;Connecticut Innovations;Cowen;Domain Associates;General Electric;Gilead Sciences;Heights Capital Management;International Biotechnology Trust;Jefferies Capital Partners;KBL Healthcare Ventures;Oak Investment Partners;Oakwood Medical Investors;Pacific Growth Equity Management;Pappas Ventures;Pound Capital;Public;Quaker BioVentures;SGC Partners II;SV Health Investors;Undisclosed Venture Investors;Webster Financial,110.65,Healthcare,Biotechnology,,United States,Connecticut,New Haven,203-624-7000,,Yes,IPO,2006/10/09,Unattributed VC - II,2006/05/19,35.14,Venture Capital,Atlas Venture;Cowen;International Biotechnology Trust;Connecticut Innovations;Advent International;SGC Partners II;Bear Stearns;KBL Healthcare Ventures;SV Health Investors;Gilead Sciences;Heights Capital Management;Pound Capital,170.76,170.76,,,North America,,BIO 2016;Pharma Startups;Rare Diseases,,,,,,,
Aclaris Therapeutics,http://www.aclaristx.com,"Aclaris Therapeutics is a specialty pharmaceutical dermatology company focused on the development of dermatologic therapies. The company focuses on identifying, developing, and commercializing topical dermatological technologies that fill unmet medical needs. The lead product in the Aclaris product portfolio (A-101) is currently a pre-IND asset that is being developed as a topical treatment for both medical and aesthetic indications.",Aperture Venture Partners;Cormorant Asset Management;F-Prime Capital;Mossrock Capital;Public;RA Capital Management;Rock Springs Capital;Sofinnova Ventures;Vivo Capital,82,Healthcare,Biotechnology,,United States,Pennsylvania,Malvern,484-321-5554,info@aclaristx.com,Yes,IPO,2015/10/07,Series C,2015/09/10,40,Series C,Vivo Capital;Mossrock Capital;Sofinnova Ventures;F-Prime Capital;Rock Springs Capital;Aperture Venture Partners;Cormorant Asset Management;RA Capital Management,213.48,213.48,,,North America,,Pharma Startups,,25,0,25,40.00%,,@aclaristx
Actinium Pharmaceuticals,http://www.actiniumpharmaceuticals.com,"Actinium Pharmaceuticals engages in the research, development, and commercialization of the alpha emitting isotopes bismuth 213 and actinium 225 for fighting cancer and other cellular diseases. The Company's product candidates are based on its technology co-developed with Memorial Sloan Kettering Cancer Center (MSKCC) for combining the cancer targeting precision of monoclonal antibodies (mAb) for targeting specific types of cells with the power of alpha emitting radioisotopes, the most potent cancer killing agents in existence.",Apelles Investment Management;Cactus Ventures;General Atlantic;Laidlaw & Company;Qualifying Therapeutic Discovery Project;Undisclosed Investors,30.97,Healthcare,Biotechnology,,United States,New York,New York,646-459-4201,info@actiniumpharmaceuticals.com,Yes,Reverse Merger,2013/01/02,Series E - II,2012/12/31,5.14,Series E,Apelles Investment Management,,,,,North America,,BIO 2016;Pharma Startups;Cancer Therapeutics,,,,,,,
Active Power,http://www.activepower.com,"Active Power, Inc. (NASDAQ: ACPW) provides the most energy-efficient critical power solutions and UPS systems in the world. The companys inherently reliable and economically green flywheel-based solutions ensure business continuity in the event of power disturbances.  Founded in 1992, Active Powers flywheel-based Uninterruptible Power Supply (UPS) systems protect critical operations in data centers, healthcare facilities, manufacturing plants, broadcast stations, and governmental agencies in over 40 countries.",Advent International;Austin Ventures;BNP Paribas Private Equity;CenterPoint Ventures;HBK Investments;Impax Asset Management;Parworld Environmental Opportunities;Public;Rho Ventures;Sevin Rosen Funds;SF Capital Group;Sound Energy Partners;SSM Partners;UBS;Undisclosed Investors;Undisclosed Venture Investors,42.58,Industrial,Machinery & Equipment,,United States,Texas,Austin,512-836-6464,,Yes,IPO,2005/05/18,Series C - II,1999/10/01,21.96,Series C,Undisclosed Venture Investors,25.216036,25.216036,,,North America,,green / clean tech,,527,0,3.74,-150.00%,,@activepower
Actua Corporation,http://www.actua.com,"Actua Corporation (NASDAQ: ACTA), formerly ICG Group, the multi-vertical cloud company, brings the power of the cloud to vertical markets and processes. Actua is pioneering the second wave of the SaaS revolution – the vertical wave – by growing cloud businesses that are transforming their markets. With more than 650 employees delivering unrivaled domain knowledge, agility and responsiveness to our customers, Actua's rapidly growing vertical cloud businesses are positioned to lead this wave.",Amerindo Investment Advisors;Cohanzick Management;Comcast Interactive Capital;Cowen;Ford Venture Capital Group;Gabriel Capital Group;GE Capital;J.P. Morgan Chase & Co.;Jemmco Investment Management;JMB Capital Partners;JMG Capital Management;Langley Capital;Manchester Securities Corp;Mason Capital Management;Public;Safeguard Scientifics;Scoggin Capital Management;T. Rowe Price,90,Business Products & Services,Consulting & Outsourcing,Business Performance Management,United States,Pennsylvania,Wayne,610-727-6900,,Yes,IPO,1999/08/05,Unattributed VC,1999/05/06,90,Venture Capital,GE Capital;T. Rowe Price;Comcast Interactive Capital;Amerindo Investment Advisors,1492.1,1492.1,,,North America,,,,,,,,,
Acuity Pharmaceuticals,http://www.acuitypharma.com,"OPKO Health, Inc. (Amex: OPK) today announced that a study published in the peer-reviewed journal Molecular Vision demonstrates that bevasiranib, its siRNA (small interfering RNA) agent is distributed throughout the eye, including uptake into the retina. In two tissue distribution and pharmacokinetic studies in rabbits, results showed that bevasiranib was present in the retina and in targeted retinal pigment epithelium (RPE) cells following intravitreal injection.",Ben Franklin Technology Partners of Southeastern PA;BioAdvance;Diamond Capital;Johnson & Johnson Innovation;Mitsubishi UFJ Capital;Och-Ziff Capital Management Group;OPKO Health;Psilos Group;Trans-Science,18.4,Healthcare,,,United States,Florida,Miami,305-575-4100,,Yes,Reverse Merger,2007/03/28,Series B,2004/10/19,16,Series B,Ben Franklin Technology Partners of Southeastern PA;Diamond Capital;BioAdvance;Och-Ziff Capital Management Group;Psilos Group;Johnson & Johnson Innovation;Trans-Science,7.126044,7.126044,,,North America,,Eye Health,,,,,,,
Acusphere,http://www.acusphere.com,"Acusphere (ACUS.PK) is a specialty pharmaceutical company that develops new drugs and improved formulations of existing drugs using itsproprietary microsphere technology. We are focused on developingproprietary drugs that can offer significant benefits such as improvedsafety and efficacy, increased patient compliance, greater ease of use,expanded indications or reduced cost. Our lead product candidate, ImagifyTM(Perflubutane Polymer Microspheres) for Injectable Suspension, is acardiovascular drug for the detection of coronary artery disease, theleading cause of death in the United States, for which a New DrugApplication (NDA) was submitted to the U.S. Food & Drug Administration(FDA) in April 2008 and filed in June 2008. Imagify and the Company'sother product candidates were created using proprietary technology thatenables Acusphere to control the porosity and size of nanoparticles andmicrospheres in a versatile manner that allows them to be customized toaddress the delivery needs of a variety of drugs.",ADAR Investment Management;Balyasny Asset Management;BancBoston Capital;Bluegrass Growth Fund Partners;Boston University Technology Development;Burr Egan Deleage & Co.;CIT Venture Capital;Comdisco Ventures;Cowen;Diaz & Altschul Advisors;GMT Capital;Heights Capital Management;Highbridge Capital Management;Polaris Partners;Polygon Investment Partners LLP;Prism VentureWorks;Public;Quaker Capital Management Corporation;Scale Venture Partners;SF Capital Group;Sunrise Equity Partners;Technology Funding;Thomas Weisel Partners;Undisclosed Investors;Ursus Capital Management;Venture Capital Fund of New England;Wasatch Advisors,129.56,Healthcare,Pharmaceuticals / Drugs,,United States,Massachusetts,Tewksbury,617-648-8800,,Yes,IPO,2004/11/15,Unattributed VC - II,2004/10/22,21.5,Venture Capital,Wasatch Advisors;Quaker Capital Management Corporation;Ursus Capital Management;Sunrise Equity Partners;Polygon Investment Partners LLP;Heights Capital Management;ADAR Investment Management;Balyasny Asset Management;Highbridge Capital Management;GMT Capital;Cowen;Bluegrass Growth Fund Partners;Diaz & Altschul Advisors;SF Capital Group,,,,,North America,,Pharma Startups,,,,,,,
AdStar,http://www.adstar.com,"AdStar is a Internet/Internet Software & Services company based in Marina del Rey, California. AdStar has received investment from SF Capital Partners.",Public;SF Capital Group;Undisclosed Venture Investors,2.5,Internet,Internet Software & Services,,United States,California,Marina del Rey,310-577-8255,,Yes,IPO,2006/05/11,Unattributed VC,2006/02/16,1.65,Venture Capital,SF Capital Group,3.44337,3.44337,,,North America,,,,,,,,,
Adamas Pharmaceuticals,http://www.adamaspharma.com,"Adamas, formerly NeuroMolecular Pharmaceuticals, is a pharmaceutical company focused on developing small molecule, advantaged therapeutics to treat neurological and infectious diseases, including influenza A. Adamas' approach to pharmaceutical development is to identify and match proven drug mechanisms that can be developed as combination drug therapies with the aim of increasing safety, efficacy and compliance.",Aeris Capital;Blackboard Ventures;DAG Ventures;Duke University;EDBI;Latterell Venture Partners;Mohr Davidow Ventures;Northgate Capital;Panorama Research;Public;Qualifying Therapeutic Discovery Project;Takeda Ventures;The Burnham Institute;Undisclosed Investors,71.67,Healthcare,Pharmaceuticals / Drugs,,United States,California,Emeryville,510-450-3500,info@adamaspharma.com,Yes,IPO,2014/04/10,Grant,2009/09/16,0.73,Grant,Qualifying Therapeutic Discovery Project,262.9,262.9,3.698129132,3.698129132,North America,,BIO 2016;Pharma Startups;Neuroscience Startups,,,,,,,
Adesto Technologies,http://www.adestotech.com,"Adesto Technologies (NASDAQ: IOTS) provides application-specific and ultra-low power non-volatile memory products in the United States, the rest of Americas, the European Union, the Asia Pacific, and internationally. It offers standard serial flash products that include DataFlash for data-logging applications, such as industrial automation, home automation sensing, and health and fitness tracking; and Fusion Flash for use in various high-volume consumer applications, such as wearables, mobile, and other applications. The company also provides conductive bridging RAM based products comprising Mavriq for Internet of Things and other applications, which include camera sensors, Bluetooth low energy devices, wearables, gaming components, printer cartridges, medical equipment, and other devices.",180 Degree Capital;Adams Street Partners;Altis Semiconductor;Applied Ventures;ARCH Venture Partners;ATA Ventures;ATEL Ventures;Band of Angels;Opus Bank;Public;Small Business Innovation Research Awards;U.S. Department of Defense;Undisclosed Investors,105.83,Electronics,Chips & Semiconductors,Semiconductors,United States,California,Santa Clara,408-400-0578,info@adestotech.com ,Yes,IPO,2015/10/27,Series E,2013/08/20,12.39,Series E,ARCH Venture Partners;180 Degree Capital,73.9,73.9,3.64218827,3.64218827,North America,,,,91,0,0.81,0.00%,,@AdestoTech
Adial Pharmaceuticals,http://www.adialpharma.com,"Adial Pharmaceuticals is focused on developing effective medications to treat addiction and related disorders. The company's most advanced compound AD04 specifically targets Alcohol Use Disorder through a proprietary dosage. Furthermore, with a simple blood test, a genetic bio-marker can identify those patients that would be expected to respond to treatment with AD04 (approximately 35% of patients).",Cato BioVentures;Public;Undisclosed Angel Investors;Undisclosed Investors,9.79,Healthcare,Drug Development,,United States,Virginia,Charlottesville,434-422-9800,info@adialpharma.com,Yes,IPO,2018/07/27,Unattributed - III,2018/06/14,0.33,Undisclosed,Undisclosed Investors,32.87,32.87,,,North America,,BIO 2016;Pharma Startups,,,,,,,
Aduro BioTech,http://www.adurobiotech.com,Aduro is advancing multiple therapeutic and prophylactic vaccines for cancer and infectious diseases based on its attenuated Listeria monocytogenes vaccine platforms. The company is also advancing a new program towards clinical evaluation that utilizes targeted small molecule immune modulators that have broad application for vaccine design. The company's Listeria platform has been validated by publications that illustrate the platform's combination of safety and potency.,AMT Capital;Clough Global;Foresite Capital;Franklin Advisers;Janus Capital Group;Jennison Associates;Johnson & Johnson Innovation;Morningside Venture Capital;National Institute of Allergy and Infectious Diseases;Novartis;OrbiMed Advisors;Public;Qualifying Therapeutic Discovery Project;U.S. Department of Defense;Undisclosed Investors,173.19,Healthcare,Drug Development,,United States,California,Berkeley,510-848-4400,,Yes,IPO,2015/04/15,Corporate Minority,2015/03/30,25,Corporate Minority,Novartis,1002.15,1002.15,104.390625,104.390625,North America,,Pharma Startups;Cancer Therapeutics,,,,,,,
Advanced Life Sciences Holdings,http://www.advancedlifesciences.com,"Advanced Life Sciences Holdings is a Healthcare/Biotechnology company based in Woodridge, Illinois. Advanced Life Sciences Holdings' investors include Soros Fund Management, Fort Mason Capital, Tribeca Global Management, Visium Asset Management, JP Morgan Chase & Co, TowerBrook Capital Partners, Cowen Group, Tang Capital Management, Balyasny Asset Management, Xmark Opportunity Partners, MPM Capital, SF Capital Partners, UBS, Morgan Stanley Private Equity, BVF, Nite Capital Management and RA Capital Management.",AG Super Fund International;Angelo Gordon;Atoll Asset Management;Balyasny Asset Management;BVF Partners;Cowen;Domain Associates;Fort Mason Capital;Heights Capital Management;J. Goldman & Co.;J.P. Morgan Chase & Co.;Jay Goldman Master;Midsummer Capital;MKM Longboat Capital Advisors LLP;Morgan Stanley;MPM Capital;Nite Capital Management;Public;RA Capital Management;SF Capital Group;Soros Fund Management;Tang Capital Management;TowerBrook Capital Partners;Tribeca Global Management;UBS;Visium Asset Management;William Harris Investors;Xmark Opportunity Partners,55.48,Healthcare,Biotechnology,,United States,Illinois,Woodridge,630-739-6744,,Yes,IPO,2006/04/21,Unattributed VC - II,2007/12/21,19.36,Venture Capital,Domain Associates;Xmark Opportunity Partners;Midsummer Capital;Tang Capital Management;William Harris Investors;AG Super Fund International;J. Goldman & Co.;Atoll Asset Management;Heights Capital Management;MKM Longboat Capital Advisors LLP;Jay Goldman Master;Balyasny Asset Management;Angelo Gordon,,,,,North America,,,,,,,,,
Adverum Biotechnologies,http://www.adverum.com,"Adverum Biotechnologies, formerly Avalanche Biotechnologies, is a clinical-stage gene therapy company targeting unmet medical needs in serious rare and ocular diseases.",Adage Capital Management;Cowen;Deerfield Management;National Eye Institute;Public;Redmile Group;Rock Springs Capital;Sabby Capital;Undisclosed Investors;Venrock,61.25,Healthcare,Biotechnology,,United States,California,Menlo Park,650-272-6269,,Yes,IPO,2014/07/31,Series B,2014/04/22,55,Series B,Venrock;Cowen;Deerfield Management;Rock Springs Capital;Redmile Group;Sabby Capital;Adage Capital Management,353.17,353.17,11.77233333,11.77233333,North America,,BIO 2016;Pharma Startups;Eye Health,,,,,,,
Aeglea BioTherapeutics,http://www.aegleabio.com,"Aeglea was founded in 2013 to develop engineered human enzymes. Aeglea's pipeline of engineered human enzymes includes AEB1102, which is expected to enter into clinical trials in both hyperargininemia and cancer. In addition, three additional drug candidates are in pre-clinical development: AEB4104, which degrades homocystine, is being evaluated as a potential treatment for the inborn error of metabolism homocystinuria; AEB3103, which degrades cysteine/cysteine, is being evaluated for its ability to increase oxidative stress through glutathione depletion for treatment of hematologic and solid malignancies; and AEB2109, which degrades methionine, is being evaluated for the treatment of solid tumors.",Ally Bridge Group;Cowen Private Investments;Jennison Associates;KBI Biopharma;Lilly Ventures;New Ground Ventures;Novartis Venture Funds;OrbiMed Advisors;Public;RA Capital Management;Rock Springs Capital;UT Horizon Fund;Venrock,56,Healthcare,Biotechnology,,United States,Texas,Austin,512-942-2935,,Yes,IPO,2016/04/07,Series B,2015/03/23,44,Series B,New Ground Ventures;UT Horizon Fund;Lilly Ventures;OrbiMed Advisors;Cowen Private Investments;Ally Bridge Group;Jennison Associates;Venrock;Rock Springs Capital;RA Capital Management;Novartis Venture Funds,129.29,129.29,21.26480263,21.26480263,North America,,Pharma Startups;Cancer Therapeutics,,,,,,,
